block_group_geoid,population,lat,lon
420030603002,38,40.466420,-79.966486
420030603002,38,40.462953,-79.965643
420030603002,33,40.465336,-79.962711
420030603002,33,40.463746,-79.966084
420030603002,29,40.467379,-79.965579
420030603002,28,40.464757,-79.962214
420030603002,27,40.461680,-79.967470
420030603002,25,40.466139,-79.963707
420030603002,23,40.465081,-79.963020
420030603002,20,40.466898,-79.965084
420030603002,20,40.462513,-79.967809
420030603002,19,40.464927,-79.963420
420030603002,19,40.463591,-79.967417
420030603002,13,40.467210,-79.964383
420030603002,13,40.466664,-79.964697
420030603002,13,40.464889,-79.960731
420030603002,13,40.464768,-79.963834
420030603002,11,40.465857,-79.963983
420030603002,11,40.464917,-79.965312
420030603002,10,40.464464,-79.962855
420030603002,6,40.462805,-79.968343
420030605001,158,40.457772,-79.968336
420030605001,94,40.457372,-79.964671
420030605001,86,40.456826,-79.968876
420030605001,61,40.456008,-79.967539
420030605001,54,40.456435,-79.967557
420030605001,50,40.456995,-79.966230
420030605001,47,40.458043,-79.966223
420030605001,41,40.457858,-79.966624
420030605001,27,40.457628,-79.965234
420030605001,21,40.454991,-79.971068
420030605001,15,40.457986,-79.964437
420030605001,11,40.458455,-79.964755
420030605002,106,40.459300,-79.963191
420030605002,62,40.460195,-79.958652
420030605002,40,40.458971,-79.959859
420030605002,39,40.458514,-79.962111
420030605002,37,40.457325,-79.961042
420030605002,32,40.459320,-79.960164
420030605002,32,40.457997,-79.963416
420030605002,32,40.457514,-79.963431
420030605002,28,40.458141,-79.961834
420030605002,27,40.455759,-79.965243
420030605002,22,40.457346,-79.962617
420030605002,22,40.456911,-79.964488
420030605002,19,40.458806,-79.958900
420030605002,14,40.459685,-79.957690
420030605002,14,40.456257,-79.965214
420030605002,10,40.459500,-79.956725
420030703001,107,40.452630,-79.931716
420030703001,85,40.453950,-79.932501
420030703001,62,40.452912,-79.934325
420030703001,50,40.452862,-79.935084
420030703001,46,40.453711,-79.933022
420030703001,45,40.451877,-79.934014
420030703001,44,40.451585,-79.934840
420030703001,41,40.453456,-79.934612
420030703001,40,40.452425,-79.932289
420030703001,36,40.452534,-79.935384
420030703001,33,40.453027,-79.935669
420030703001,30,40.452036,-79.933585
420030703001,25,40.452150,-79.933168
420030703001,24,40.452286,-79.932765
420030703001,24,40.451714,-79.934420
420030703002,116,40.449965,-79.930505
420030703002,105,40.449511,-79.931957
420030703002,86,40.450204,-79.932341
420030703002,75,40.450764,-79.932653
420030703002,74,40.450655,-79.930896
420030703002,64,40.449005,-79.933577
420030703002,48,40.451558,-79.930947
